College_Code,Department_Name,Event_Year,Total_Students,Total_Teams,Active_Participants,Total_Offers,Partnership_Count,Recruiter_Visits,Total_Faculty,Active_Mentors,Total_Hackathon_Cost,Innovation_Score_Avg,Departmental_Performance_Index_DPI,Institutional_ROI
C01,CSE,2025,602,91,332,59,3,15,48,30,517498,0.839,0.696,104.73
C01,ECE,2025,587,92,333,85,3,13,40,21,494925,0.78,0.76,104.73
C01,IT,2025,793,41,508,40,1,19,45,33,514478,0.755,0.787,104.73
C01,MECH,2025,669,67,454,48,3,19,42,24,441394,0.748,0.718,104.73
C02,CSE,2025,984,90,527,65,1,14,37,21,498148,0.938,0.753,104.73
C02,ECE,2025,885,59,445,43,4,14,31,22,510077,0.609,0.613,104.73
C02,IT,2025,580,75,281,40,2,13,41,29,439692,0.864,0.651,104.73
C02,MECH,2025,690,57,319,29,2,11,33,23,521387,0.743,0.588,104.73
C03,CSE,2025,689,79,356,62,2,16,47,35,481214,0.778,0.702,104.73
C03,ECE,2025,800,40,408,26,1,15,20,13,566330,0.673,0.617,104.73
C03,IT,2025,998,56,561,30,1,18,24,18,452662,0.88,0.681,104.73
C03,MECH,2025,700,47,291,24,1,14,42,34,440965,0.681,0.55,104.73
C04,CSE,2025,974,74,615,73,3,8,24,18,520982,0.904,0.847,104.73
C04,ECE,2025,782,48,518,38,2,17,47,35,480015,0.65,0.696,104.73
C04,IT,2025,730,88,343,75,4,12,42,27,492623,0.832,0.729,104.73
C04,MECH,2025,826,98,572,70,4,9,29,22,525259,0.626,0.673,104.73
C05,CSE,2025,607,83,325,70,3,17,42,32,555117,0.821,0.742,104.73
C05,ECE,2025,724,40,409,39,5,16,22,17,566602,0.641,0.718,104.73
C05,IT,2025,636,76,304,61,3,13,43,29,481005,0.831,0.716,104.73
C05,MECH,2025,996,97,449,59,2,10,36,22,523264,0.671,0.586,104.73
C06,CSE,2025,686,88,275,45,4,13,42,25,485680,0.819,0.601,104.73
C06,ECE,2025,902,41,412,31,2,13,42,24,539751,0.62,0.612,104.73
C06,IT,2025,622,56,285,51,5,11,21,15,540078,0.83,0.743,104.73
C06,MECH,2025,739,55,391,35,4,18,25,14,486250,0.748,0.649,104.73
C07,CSE,2025,919,58,513,48,4,16,20,17,530689,0.827,0.747,104.73
C07,ECE,2025,859,40,493,29,3,14,47,38,537512,0.804,0.711,104.73
C07,IT,2025,999,99,400,49,4,12,24,18,547858,0.818,0.596,104.73
C07,MECH,2025,646,87,388,62,1,15,39,29,435539,0.834,0.728,104.73
C08,CSE,2025,921,79,621,73,1,10,44,35,432869,0.86,0.823,104.73
C08,ECE,2025,662,55,452,35,4,8,23,11,565059,0.723,0.685,104.73
C08,IT,2025,883,47,487,25,1,8,35,28,449830,0.852,0.666,104.73
C08,MECH,2025,521,85,245,79,5,10,41,27,479377,0.758,0.723,104.73
C09,CSE,2025,776,69,406,61,1,12,47,38,532946,0.806,0.745,104.73
C09,ECE,2025,691,88,292,87,4,12,25,14,463828,0.787,0.738,104.73
C09,IT,2025,779,68,356,64,3,19,20,13,545668,0.809,0.743,104.73
C09,MECH,2025,915,62,526,33,2,16,29,19,466631,0.774,0.642,104.73
C10,CSE,2025,613,71,419,56,2,18,29,15,535864,0.815,0.767,104.73
C10,ECE,2025,798,93,494,84,5,17,42,30,459592,0.803,0.778,104.73
C10,IT,2025,907,52,397,38,4,8,27,15,462097,0.818,0.678,104.73
C10,MECH,2025,821,71,542,56,3,16,45,38,557813,0.609,0.678,104.73
C11,CSE,2025,770,93,495,82,1,15,40,31,544692,0.793,0.775,104.73
C11,ECE,2025,602,43,245,33,4,10,42,28,524476,0.782,0.665,104.73
C11,IT,2025,869,99,452,78,3,8,43,25,435949,0.787,0.707,104.73
C11,MECH,2025,778,48,450,44,1,17,45,22,568877,0.711,0.733,104.73
C12,CSE,2025,617,87,334,82,5,12,20,17,459375,0.853,0.786,104.73
C12,ECE,2025,946,44,655,24,4,17,35,19,523468,0.789,0.687,104.73
